[2026-03-14 12:43:21.270] [info]  DiscordSplash.signalReady
[2026-03-14 12:43:21.291] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-03-14 12:43:21.291] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-03-14 12:43:21.293] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-03-14 12:43:21.293] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-03-14 12:43:21.293] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-03-14 12:43:21.294] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-03-14 12:43:21.294] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-03-14 12:43:21.294] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-03-14 12:43:21.294] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-03-14 12:43:21.294] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-03-14 12:43:21.295] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-03-14 12:43:21.295] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-03-14 12:43:21.295] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-03-14 12:43:21.295] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-03-14 12:43:21.688] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-03-14 12:43:21.688] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-03-14 12:43:21.962] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-03-14 12:43:21.963] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-03-14 12:43:21.973] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
